Testbed,Query,MAP,NDCG,MAPwithBRF,NDCGwithBRF,MAPwithSW,NDCGwithSW,MAPwithThes,NDCGwithThes,MAPwithThesAndStop,NDCGwithThesAndStop,MAPwithCom,NDCGwithCom
5,2,0.31954365079365077,0.5248010467162383,0.4218253968253968,0.7740382809926909,0.33270833333333333,0.5668246918746569,0.06436507936507938,0.10863035642611495,0.08936507936507937,0.14924501763837777,0.11735119047619044,0.1997844356919488
5,3,0.15373015873015874,0.2578753740644927,0.3107142857142857,0.627669912990767,0.15373015873015874,0.2578753740644927,0.05662698412698412,0.10414683290516591,0.05662698412698412,0.10414683290516591,0.05662698412698412,0.10414683290516591
5,4,0.011974206349206349,0.03668196104968003,0.09425595238095238,0.1878349327103662,0.010555555555555556,0.06625422345438903,0.08550595238095238,0.2114502791144043,0.07217261904761904,0.14279514403613733,0.0650297619047619,0.13886244387355454
5,5,0.21789682539682537,0.3301376494471203,0.17873015873015874,0.29849003527675555,0.23470238095238088,0.3995688713838976,0.22289682539682537,0.39375843764607205,0.25345238095238093,0.4252084336260238,0.2478968253968254,0.42257499837058643
6,1,0.35436507936507944,0.6954636921001108,0.3549603174603175,0.6986089279689064,0.3519047619047619,0.7241072803063563,0.25611111111111107,0.5098354002188454,0.3386309523809524,0.6527904144881196,0.3341170634920635,0.6500014594349866
6,2,0.26374007936507937,0.5736833768804744,0.26374007936507937,0.5736833768804744,0.26374007936507937,0.5736833768804744,0.2402083333333333,0.44161482668316504,0.26374007936507937,0.5736833768804744,0.26374007936507937,0.5736833768804744
6,3,0.4507043650793651,0.8210933633344505,0.4666071428571429,0.8909917927337878,0.4507043650793651,0.8210933633344505,0.4045238095238095,0.7565242558751337,0.38914682539682544,0.7487474720560167,0.3377976190476191,0.6561752009883105
6,4,0.5,1.0,0.495,0.9363792118010483,0.5,1.0,0.44869047619047614,0.7909506325094736,0.44869047619047614,0.7909506325094736,0.44869047619047614,0.7909506325094736
6,5,0.2417063492063492,0.41350576416902,0.2417063492063492,0.41350576416902,0.2417063492063492,0.41350576416902,0.08175595238095237,0.17342665234810897,0.08175595238095237,0.17342665234810897,0.08175595238095237,0.17342665234810897
7,1,0.46490079365079373,0.8598310310878846,0.4408730158730159,0.8640427729953584,0.46490079365079373,0.8598310310878846,0.40595238095238095,0.7599310807682469,0.40595238095238095,0.7599310807682469,0.42195436507936507,0.8235269208783019
